Date.Caught,Estuary.Region,Sex,FL..cm.,FL..mm.,TL..cm.,Body.Wet.Weight..g.,ID,ReadAge,Readability,EdgeTranslucency,MIncrRatio,Adj_Inc,Capture.Month,AgeClass,AgeGroup,State,X,X.1,AgeMonths
19/10/2015,Clarence River,U,3.9,39,4.2,0.7,469,0,NA,,NA,0,10,0.087671233,0,NSW,NA,NA,1.052054796
19/10/2015,Clarence River,U,4.6,46,5,NA,621,0,2,n,NA,0,10,0.117808219,0,NSW,NA,NA,1.4136986280000001
20/01/2015,Sydney Harbour,U,6.3,63,6.8,2.7,381,0,2,n,NA,0,1,0.134246575,1,NSW,NA,NA,1.6109589
15/04/2015,Clarence River,U,7,70,7.5,4.13,192,0,2,m,NA,0,4,0.136986301,1,NSW,NA,NA,1.6438356120000002
9/03/2015,Sydney Harbour,U,7.8,78,8.5,4.834,293,0,2,m,NA,0,3,0.142465753,1,NSW,NA,NA,1.7095890360000001
15/10/2015,Jervis Bay,U,6.9,69,NA,NA,543,0,2,n,NA,0,10,0.147945205,0,NSW,NA,NA,1.77534246
15/10/2015,Jervis Bay,U,5.4,54,NA,NA,546,0,2,n,NA,0,10,0.150684932,0,NSW,NA,NA,1.808219184
9/03/2015,Sydney Harbour,U,8.8,88,9.5,7.253,298,0,2,w,NA,0,3,0.153424658,1,NSW,NA,NA,1.841095896
9/03/2015,Sydney Harbour,U,8.4,84,9.1,6.4094,292,0,2,m,NA,0,3,0.161643836,1,NSW,NA,NA,1.9397260320000003
15/04/2015,Clarence River,U,7.6,76,8.3,5.65,190,0,2,m,NA,0,4,0.161643836,1,NSW,NA,NA,1.9397260320000003
15/10/2015,Jervis Bay,U,5.7,57,6.1,2.4,545,0,2,n,NA,0,10,0.169863014,0,NSW,NA,NA,2.038356168
15/10/2015,Jervis Bay,U,4.5,45,NA,NA,548,0,2,n,NA,0,10,0.169863014,0,NSW,NA,NA,2.038356168
19/10/2015,Clarence River,U,5.8,58,6.1,2.1,466,0,2,m,NA,0,10,0.175342466,0,NSW,NA,NA,2.104109592
9/03/2015,Sydney Harbour,U,8.9,89,9.7,7.3532,294,0,2,m,NA,0,3,0.175342466,1,NSW,NA,NA,2.104109592
15/04/2015,Clarence River,U,7.6,76,8.2,5.28,191,0,2,m,NA,0,4,0.175342466,1,NSW,NA,NA,2.104109592
19/10/2015,Clarence River,U,6.5,65,6.9,3.6,611,0,2,m,NA,0,10,0.18630137,0,NSW,NA,NA,2.23561644
9/03/2015,Sydney Harbour,U,8.5,85,9.1,6.801,297,0,3,w,NA,0,3,0.189041096,1,NSW,NA,NA,2.268493152
15/04/2015,Clarence River,U,9.3,93,9.9,9.54,193,0,2,m,NA,0,4,0.205479452,1,NSW,NA,NA,2.465753424
8/01/2016,Sydney Harbour,U,8.4,84,9.1,6.9,744,0,2,m,NA,0,1,0.208219178,1,NSW,NA,NA,2.498630136
