Date.Caught,Estuary.Region,Sex,FL..cm.,FL..mm.,TL..cm.,Body.Wet.Weight..g.,ID,ReadAge,Readability,EdgeTranslucency,MIncrRatio,Adj_Inc,Capture.Month,AgeClass,AgeGroup,Months,State,,
15/10/2015,Jervis Bay,U,4.5,45,4.7,NA,440,0,2,n,NA,0,10,0,0,NA,NSW,,
15/10/2015,Jervis Bay,U,5,50,5.1,1.4,441,0,2,n,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,8,80,8.6,6.2,449,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.6,56,5.9,2.3,451,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,7.5,75,8.1,5.2,453,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.9,69,7.6,4.4,454,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.1,51,5.5,1.5,456,0,2,n,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.3,63,6.8,2.9,457,0,NA,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.2,62,6.6,2.7,461,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,4.7,47,5.1,1.2,462,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5,50,5.3,1.4,463,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.4,64,6.6,3,464,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.2,62,6.5,3.1,465,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.6,56,6,2,467,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.2,52,5.6,1.8,468,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.2,52,5.5,1.7,470,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,4.2,42,4.5,0.8,471,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,4,40,4.3,0.8,472,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.1,61,6.5,3,473,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.9,59,6.4,2.5,474,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.1,51,5.4,1.6,475,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.7,57,6.2,2.2,476,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.9,59,6.3,2.5,477,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,4.6,46,4.9,1.1,478,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,6.3,63,7,2.7,479,0,2,m,NA,0,10,0,0,NA,NSW,,
19/10/2015,Clarence River,U,5.2,52,5.5,1.7,480,0,2,m,NA,0,10,0,0,NA,NSW,,
