Length_Class,nFish
18,0
20,1.449227978
22,4.334423137
24,11.46673793
26,595.4658165
28,1778.378398
30,2525.042597
32,2893.080423
34,2717.148048
36,1957.399455
38,1130.230221
40,624.0409218
42,243.0819106
44,184.4515195
46,64.33907884
48,9.153241688
50,6.615088463
52,4.66942882
54,1.581239532
56,1.499095467
58,1.773702199
60,1.448596052
62,0.667612825
64,0.744284048
66,1.257616694
68,0.603351602
70,0.551941337
72,0.506957575
74,1.011470875
76,0.782770445
78,0.253478787
