Length_Class,nFish
20,0.41
21,1.02
22,2.17
23,2.12
24,2.96
25,8.39
26,63.85
27,525.50
28,817.18
29,942.94
30,1264.49
31,1234.63
32,1337.11
33,1526.27
34,1334.86
35,1354.39
36,1115.51
37,821.79
38,677.59
39,441.04
40,364.90
41,252.74
42,153.66
43,86.93
44,109.95
45,72.61
46,38.31
47,25.37
48,4.04
49,5.02
50,4.80
51,1.75
52,3.85
53,0.77
54,1.07
55,0.50
56,0.52
57,0.96
58,1.13
59,0.62
60,0.49
61,0.94
62,0.56
63,0.10
64,0.20
65,0.54
66,0.75
67,0.50
68,0.35
69,0.25
70,0.10
71,0.45
72,0.50
73,0.00
74,0.75
75,0.25
76,0.00
77,0.77
78,0.00
79,0.25
