Length,Prop_2015,Prop_2014,QLD_Beach_Percent,n_fish_QLD_Beach,
18,0,0,0,0,
20,0,0,0,0,
22,0,0,0,0,
24,0,0,0,0,
26,0.000297223,0.000606774,0.04519983,1.070331974,
28,0.01904127,0.023194407,2.111783848,50.00704151,
30,0.155876649,0.115825413,13.5851031,321.6952415,
32,0.398950698,0.379396149,38.91734235,921.5626669,
34,0.25128942,0.29956398,27.54266998,652.2104252,
36,0.086132735,0.099816101,9.297441799,220.1634218,
38,0.04183191,0.033400345,3.761612743,89.07498975,
40,0.021424409,0.025958315,2.369136223,56.10114577,
42,0.015003043,0.01363397,1.431850633,33.90622299,
44,0.005755875,0.002108311,0.393209317,9.311196621,
46,0.002383377,0.002406164,0.23947704,5.670816313,
48,0.001945944,0.002380279,0.21631115,5.122248041,
50,4.47649E-05,0.000559779,0.030227181,0.715779656,
52,2.26836E-05,7.0359E-06,0.001485973,0.035187847,
54,0,1.41352E-05,0.000706759,0.016736064,
56,0,4.18351E-06,0.000209175,0.004953275,
58,0,0.000994869,0.049743461,1.177925151,
60,0,0.000104687,0.005234367,0.1239498,
62,0,1.24238E-05,0.000621188,0.014709725,
64,0,3.23271E-06,0.000161636,0.00382753,
66,0,9.44459E-06,0.000472229,0.011182393,
68,0,0,0,0,
70,0,0,0,0,
72,0,0,0,0,
74,0,0,0,0,
76,0,0,0,0,
