Length,Prop_2015,Prop_2014,QLD_Net_Percent,n_fish_QLD_Net
18,0,0,0,0
20,0,0,0,0
22,0,0.001191499,0.05957496,2.192954278
24,0,0.000297875,0.01489374,0.548238569
26,0.0001273,6.46E-05,0.009597398,0.353280202
28,0.006149111,0.002928146,0.453862875,16.70669243
30,0.054396481,0.035350357,4.487341863,165.179054
32,0.190502717,0.180708383,18.56055497,683.2140286
34,0.206578287,0.273619739,24.00990131,883.8044674
36,0.153546279,0.174093365,16.38198221,603.020765
38,0.146746451,0.136751359,14.1748905,521.7777193
40,0.121483166,0.102829451,11.21563089,412.8473729
42,0.055798273,0.047844187,5.18212302,190.7539483
44,0.02776617,0.019334251,2.355021071,86.68832561
46,0.008209014,0.007277305,0.774315953,28.50257021
48,0.009267136,0.006188433,0.772778432,28.44597408
50,0.008894502,0.004187669,0.654108571,24.07773651
52,0.004715015,0.002006181,0.336059793,12.37036098
54,0.00225944,0.001378664,0.181905236,6.695931746
56,0.001923029,0.001912981,0.191800518,7.060177049
58,0.001113074,0.001065705,0.108938979,4.010043808
60,0.000299845,8.29E-05,0.019138656,0.704493937
62,0.000224706,0.000561075,0.039289075,1.446230851
64,0,0.000150638,0.00753188,0.277248503
66,0,6.48E-05,0.00324046,0.119281333
68,0,0.000110351,0.00551754,0.203100647
70,0,0,0,0
72,0,0,0,0
74,0,0,0,0
76,0,0,0,0
