WhsAgeReviewTempID,DateTimeEntered,AgeReadingID,FishID,Purpose,Reader,envAlphaID,envNumberID,Reading,ReadingMethod,ReadAge,Readability,EdgeTranslucency,Adj_Inc,MIncrRatio,Length,Sex,Location,CalYear,Area,Month,ImageCode,ImageCode_m,Scale,Otolith1,Otolith1Value,Otolith1Note,Otolith1Arag,Otolith1Debri,Otolith1Missing,Otolith2,Otolith2Value,Otolith2Note,Otolith2Condition,Otolith2Arag,Otolith2Debri,Otolith3,Otolith3Value,Otolith3Note,Otolith3Condition,Otolith3Arag,Otolith3Debri,Otolith3Missing,Project,TaxonCode,CommonName,ScientificName,ComputerCode,ComputerScale,ReviewDate,Sort,ReadersNote,SampleDate,ReadNoNote,AgeReadingTypeID,LocationID,F1stRing,S2ndRing,S2ndLastToLast,LastToEdge,YearEntered,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
12311110,19/09/2017 11:59,154348,6256596,TenPercent, Hayden Schilling,Psa,12,1,MIncrRingCountOfOtolith,1,2,m,1,0.119025278,27.6,Female,WALLIS LAKE,2014,32 Deg. - 33 Deg. Latitude (Zone 5),9,Images/Pom_sal(Psa)_12_TenP_1_1.jpg,Images/Pom_sal(Psa)_12_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,3/09/2014 0:00,,5120,350,2.663184522,0.316986278,2.663184522,0.316986278,2017,2.663184522,0.316986278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311114,19/09/2017 12:01,154387,6442971,TenPercent, Hayden Schilling,Psa,52,1,MIncrRingCountOfOtolith,1,2,m,1,0.128096335,34.3,Female,,2015,unknown,2,Images/Pom_sal(Psa)_52_TenP_1_1.jpg,Images/Pom_sal(Psa)_52_TenP_1_1_m.jpg,112,S ,0.02548,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,12/02/2015 0:00,,5120,,3.117168441,0.399297853,3.117168441,0.399297853,2017,3.117168441,0.399297853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311119,19/09/2017 12:07,154437,6351219,TenPercent, Hayden Schilling,Psa,102,1,MIncrRingCountOfOtolith,2,3,m,2,0.602606996,36.5,Female,,2014,unknown,7,Images/Pom_sal(Psa)_102_TenP_1_1.jpg,Images/Pom_sal(Psa)_102_TenP_1_1_m.jpg,112,S ,0.03648,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,3/07/2014 0:00,,5120,,2.689790104,0.72531446,0.72531446,0.437079568,2017,2.689790104,0.72531446,0.437079568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311122,19/09/2017 12:11,154467,6443039,TenPercent, Hayden Schilling,Psa,142,1,MIncrRingCountOfOtolith,2,3,m,2,0.623175012,34.6,Female,,2015,33 Deg. - 34 Deg. Latitude (Zone 6),6,Images/Pom_sal(Psa)_142_TenP_1_1.jpg,Images/Pom_sal(Psa)_142_TenP_1_1_m.jpg,112,S ,0.028,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,11/06/2015 0:00,,5120,,2.289491609,0.564440028,0.564440028,0.351744921,2017,2.289491609,0.564440028,0.351744921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311124,19/09/2017 12:14,154487,6443059,TenPercent, Hayden Schilling,Psa,162,1,MIncrRingCountOfOtolith,2,2,m,2,0.559866612,33.4,Male,,2015,unknown,1,Images/Pom_sal(Psa)_162_TenP_1_1.jpg,Images/Pom_sal(Psa)_162_TenP_1_1_m.jpg,112,S ,0.02754,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/01/2015 0:00,,5120,,2.435620838,0.570561408,0.570561408,0.319438282,2017,2.435620838,0.570561408,0.319438282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311127,19/09/2017 12:17,154517,6443089,TenPercent, Hayden Schilling,Psa,192,1,MIncrRingCountOfOtolith,0,2,m,0,,7,Unknown,CLARENCE RIVER,2015,Clarence R Iluka Maclean Yamba Wooloweyah,5,Images/Pom_sal(Psa)_192_TenP_1_1.jpg,Images/Pom_sal(Psa)_192_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,1/05/2015 0:00,,5120,80,1.076507967,,,1.076507967,2017,1.076507967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311136,19/09/2017 12:41,154607,6443169,TenPercent, Hayden Schilling,Psa,282,1,MIncrRingCountOfOtolith,2,2,m,2,0.517520815,37.6,Male,SYDNEY,2015,33 Deg. - 34 Deg. Latitude (Zone 6),7,Images/Pom_sal(Psa)_282_TenP_1_1.jpg,Images/Pom_sal(Psa)_282_TenP_1_1_m.jpg,112,S ,0.03271,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Bio data]                                                                                                                                                                                                                             ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/07/2015 0:00,,5120,620,2.520010534,0.535051442,0.535051442,0.276900258,2017,2.520010534,0.535051442,0.276900258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311137,19/09/2017 12:41,156194,6443179,TenPercent, Hayden Schilling,Psa,292,1,MIncrRingCountOfOtolith,0,2,m,0,,8.4,Unknown,SYDNEY HARBOUR,2015,"Sydney Harbour, Parramatta River",3,Images/Pom_sal(Psa)_292_TenP_1_1.jpg,Images/Pom_sal(Psa)_292_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,9/03/2015 0:00,,5120,600,1.357869688,,,1.357869688,2017,1.357869688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311138,19/09/2017 12:41,154625,6351598,TenPercent, Hayden Schilling,Psa,302,1,MIncrRingCountOfOtolith,0,2,m,0,,8.8,Unknown,BATEMANS BAY,2015,"Batemans Bay, Clyde River",3,Images/Pom_sal(Psa)_302_TenP_1_1.jpg,Images/Pom_sal(Psa)_302_TenP_1_1_m.jpg,112,S ,0.00312,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,18/03/2015 0:00,,5120,910,1.472537723,,,1.472537723,2017,1.472537723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311154,19/09/2017 12:53,154829,6468137,TenPercent, Hayden Schilling,Psa,462,1,MIncrRingCountOfOtolith,0,2,m,0,,4.7,Unknown,CLARENCE RIVER,2015,Clarence R Iluka Maclean Yamba Wooloweyah,10,Images/Pom_sal(Psa)_462_TenP_1_1.jpg,Images/Pom_sal(Psa)_462_TenP_1_1_m.jpg,112,S ,0.00087,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/10/2015 0:00,,5120,80,0.825474851,,,0.825474851,2017,0.825474851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
